INDEX, KEY, TSTART [UT], TPEAK [UT], TFINAL [UT], IXPEAK [W/m^2], LAT [deg], LON [deg], ARNUM,Confined/Eruptive,E_TOTAL[erg cm^-1] ,AREA_HED[CM^2],Flux_HED [Mx],SHEAR[DEG],UJ_MEAN[mA m^-2],J_TOTAL[A],UHC_MEAN[G^2 m^-1],HC_TOTAL[G^2 m^-1],GBH_MEAN[G m^-1],ALP_MEAN [Mm^-1],LPIL [Mm]
45, 20111227_0411_11386_C8.9, 2011-12-27 04:11, 2011-12-27 04:22, 2011-12-27 04:31,8.90E-06,-17,-32,11386,E,2.53E+22,6.54E+17,1.01E+20,48.9692,0.00908361,7.62E+11,0.0190672,12.0314,0.000125526,0.011734,15.7
46, 20111231_1309_11389_M2.4, 2011-12-31 13:09, 2011-12-31 13:15, 2011-12-31 13:19,2.40E-05,-23,-44,11389,C,5.87E+22,1.81E+18,3.62E+20,51.7604,0.00820393,1.45E+12,0.0102287,13.5734,0.000113207,-0.00883248,51.1
47, 20120110_2234_11391_C1.7, 2012-01-10 22:34, 2012-01-10 23:01, 2012-01-10 23:12,1.70E-06,15,21,11391,C,8.59E+21,3.06E+17,3.23E+19,70.1208,0.00843791,3.15E+11,0.0123273,3.46396,0.00010617,0.0210133,5.1
48, 20120118_2257_11396_C5.1, 2012-01-18 22:57, 2012-01-18 23:20, 2012-01-18 23:33,5.10E-06,24,33,11396,E,3.54E+22,9.25E+17,1.78E+20,58.9934,0.00898585,8.25E+11,0.0107226,7.4093,0.000103516,-0.0302549,20.1
49, 20120123_0338_11402_M8.7, 2012-01-23 03:38, 2012-01-23 03:59, 2012-01-23 04:34,8.70E-05,28,21,11402,E,1.42E+23,2.89E+18,6.39E+20,52.3048,0.00894226,3.19E+12,0.0132184,35.4518,0.000101828,-0.0293311,52.6
50, 20120211_1041_11416_C1.5, 2012-02-11 10:41, 2012-02-11 10:44, 2012-02-11 10:49,1.50E-06,-17,-10,11416,C,1.36E+21,6.95E+16,1.61E+19,48.3345,0.00854549,5.23E+10,0.0231138,1.06324,0.00011842,0.0992515,11.4
51, 20120307_0002_11429_X5.4, 2012-03-07 00:02, 2012-03-07 00:24, 2012-03-07 00:40,5.40E-04,17,-29,11429,E,8.68E+23,1.23E+19,4.39E+21,52.9964,0.0102264,1.28E+13,0.0312156,293.02,0.000128811,-0.00622418,143
52, 20120308_0249_11428_C7.2, 2012-03-08 02:49, 2012-03-08 02:53, 2012-03-08 02:56,7.20E-06,-18,3,11428,C,6.63E+21,2.10E+17,2.40E+19,78.9138,0.00851442,1.77E+11,0.0212076,3.30839,0.000115154,-0.242116,4.35
53, 20120310_1443_11430_C8.0, 2012-03-10 14:43, 2012-03-10 15:52, 2012-03-10 16:16,8.00E-06,20,28,11430,E,1.19E+22,3.77E+17,8.71E+19,49.0031,0.0075763,3.30E+11,0.0119533,3.9207,0.000102014,-0.0488388,35.4
54, 20120317_2032_11434_M1.3, 2012-03-17 20:32, 2012-03-17 20:39, 2012-03-17 20:42,1.30E-05,-20,25,11434,E,9.60E+21,3.53E+17,3.22E+19,54.7559,0.00847909,3.23E+11,0.0100501,2.88437,0.000110982,-0.0382169,9.27
55, 20120405_1616_11450_C3.1, 2012-04-05 16:16, 2012-04-05 16:24, 2012-04-05 16:32,3.10E-06,14,30,11450,E,1.87E+22,4.85E+17,5.17E+19,38.4516,0.0100398,5.89E+11,0.0203423,8.97096,0.000118212,0.101099,20.2
56, 20120422_2052_11459_C1.9, 2012-04-22 20:52, 2012-04-22 20:56, 2012-04-22 21:00,1.90E-06,-14,24,11459,C,1.18E+21,6.68E+16,9.84E+18,46.7011,0.00957341,6.62E+10,0.00384397,0.199886,8.35E-05,-0.100953,2.92
57, 20120422_2142_11465_C2.4, 2012-04-22 21:42, 2012-04-22 21:48, 2012-04-22 21:53,2.40E-06,-20,-18,11465,C,8.42E+22,2.02E+18,6.49E+20,49.5904,0.00933226,1.88E+12,0.0316576,47.8979,0.000122354,-0.0224092,42.8
58, 20120501_0435_11471_C3.9, 2012-05-01 04:35, 2012-05-01 04:43, 2012-05-01 04:47,3.90E-06,-19,-38,11471,C,2.17E+22,4.96E+17,1.33E+20,63.6344,0.00751894,4.16E+11,0.0117354,4.88194,8.73E-05,0.0740807,8.63326
59, 20120510_0411_11476_M5.7, 2012-05-10 04:11, 2012-05-10 04:18, 2012-05-10 04:40,5.70E-05,13,-22,11476,C,4.18E+23,7.81E+18,1.69E+21,52.0918,0.00873785,6.71E+12,0.0262501,151.752,0.000122249,-0.0337747,121.735
60, 20120523_0015_11484_C1.2, 2012-05-23 00:15, 2012-05-23 00:27, 2012-05-23 00:35,1.20E-06,11,42,11484,C,1.11E+22,4.21E+17,1.05E+20,41.0934,0.00693956,3.27E+11,0.0185754,6.59428,0.000114274,-0.0335946,14.2758
61, 20120614_1252_11504_M1.9, 2012-06-14 12:52, 2012-06-14 14:35, 2012-06-14 15:56,1.90E-05,-17,-4,11504,E,1.47E+23,4.03E+18,1.61E+21,60.1128,0.00781317,3.36E+12,0.0245852,79.6068,0.000117933,0.0414122,26.0197
62, 20120705_1139_11515_M6.1, 2012-07-05 11:39, 2012-07-05 11:44, 2012-07-05 11:49,6.10E-05,-22,32,11515,C,4.49E+23,8.24E+18,2.93E+21,59.099,0.00985781,8.45E+12,0.032046,206.568,0.000148288,0.0147963,156.886
63, 20120708_1748_11519_C9.2, 2012-07-08 17:48, 2012-07-08 18:03, 2012-07-08 18:09,9.20E-06,-16,-30,11519,C,2.71E+19,1.20E+19,4.43E+21,35.7367,0.0256991,3.42E+09,0.186287,0.186287,0.000295061,0.411908,107.443
64, 20120712_1537_11520_X1.4, 2012-07-12 15:37, 2012-07-12 16:49, 2012-07-12 17:30,1.40E-04,-15,1,11520,E,6.35E+23,1.27E+19,4.74E+21,61.8688,0.00773103,9.61E+12,0.0343497,321.067,0.000129256,0.0235106,38.7348
65, 20120714_0451_11521_M1.0, 2012-07-14 04:51, 2012-07-14 04:58, 2012-07-14 05:05,1.00E-05,-22,30,11521,C,3.14E+22,9.77E+17,5.26E+20,55.3031,0.0087606,8.83E+11,0.0170614,12.9325,9.66E-05,-0.0193565,28.3159
66, 20120727_2018_11530_C2.1, 2012-07-27 20:18, 2012-07-27 20:27, 2012-07-27 20:40,2.10E-06,-19,-40,11530,C,7.12E+21,1.71E+17,3.30E+19,65.7116,0.00732268,1.97E+11,0.0100715,2.03444,8.81E-05,-0.0315964,6.81845
67, 20120730_1539_11532_M1.1, 2012-07-30 15:39, 2012-07-30 15:48, 2012-07-30 15:53,1.10E-05,-22,-28,11536,C,1.37E+23,3.53E+18,5.64E+20,71.6333,0.00881522,3.05E+12,0.0116152,30.2576,9.98E-05,-0.035012,32.2949
68, 20120803_2120_11535_C3.0, 2012-08-03 21:20, 2012-08-03 21:27, 2012-08-03 21:31,3.00E-06,18,-14,11535,C,2.43E+21,7.75E+16,1.19E+19,57.9206,0.0079657,5.19E+10,0.0281944,1.38152,0.00015009,-0.065014,2.19357
69, 20120809_0527_11538_C3.2, 2012-08-09 05:27, 2012-08-09 05:33, 2012-08-09 05:35,3.20E-06,-24,35,11538,C,2.27E+20,9.36E+15,1.01E+18,36.8459,0.00560776,5.96E+09,0.00426803,0.0341442,8.43E-05,0.591581,0
70, 20120810_0407_11542_C4.2, 2012-08-10 04:07, 2012-08-10 04:16, 2012-08-10 04:45,4.20E-06,-16,-36,11542,C,1.34E+23,3.38E+18,6.85E+20,62.9336,0.00869801,2.83E+12,0.0149244,36.4751,0.000106128,0.168283,67.282
71, 20120816_1241_11543_C3.6, 2012-08-16 12:41, 2012-08-16 13:16, 2012-08-16 13:48,3.60E-06,19,36,11543,E,2.57E+21,9.09E+16,4.97E+18,44.1938,0.00718014,6.59E+10,0.00314547,0.217037,6.99E-05,0.349354,4.62488
72, 20120825_0224_11554_C1.7, 2012-08-25 02:24, 2012-08-25 02:36, 2012-08-25 02:55,1.70E-06,16,-12,11554,C,7.31E+20,3.48E+16,1.16E+18,64.7571,0.00881019,2.93E+10,0.00734538,0.183635,0.00013453,-0.279304,0
73, 20120908_1735_11564_M1.4, 2012-09-08 17:35, 2012-09-08 17:59, 2012-09-08 18:20,1.40E-05,-13,38,11564,C,5.58E+22,1.81E+18,4.02E+20,60.5056,0.0082415,1.60E+12,0.0132464,19.3397,0.00010295,0.0147408,30.7576
74, 20120909_1451_11568_C1.7, 2012-09-09 14:51, 2012-09-09 14:58, 2012-09-09 15:05,1.70E-06,-11,20,11568,C,7.85E+21,2.75E+17,4.74E+19,46.0499,0.00822798,2.44E+11,0.00902637,2.01288,0.000114485,0.18921,0
