INDEX, KEY, TSTART [UT], TPEAK [UT], TFINAL [UT], IXPEAK [W/m^2], LAT [deg], LON [deg], ARNUM,Confined/Eruptive,E_TOTAL[erg cm^-1] ,AREA_HED[CM^2],Flux_HED [Mx],SHEAR[DEG],UJ_MEAN[mA m^-2],J_TOTAL[A],UHC_MEAN[G^2 m^-1],HC_TOTAL[G^2 m^-1],GBH_MEAN[G m^-1],ALP_MEAN [Mm^-1],LPIL [Mm]
184, 20141130_1716_12221_C2.1, 2014-11-30 17:16, 2014-11-30 17:19, 2014-11-30 17:21,2.10E-06,5,-28,12221,C,1.69E+21,5.08E+16,9.75E+18,55.132,0.00792442,4.11E+10,0.0241334,0.941203,9.31E-05,-0.0666016,0
185, 20141202_0758_12217_C5.2, 2014-12-02 07:58, 2014-12-02 08:05, 2014-12-02 08:10,5.20E-06,-17,38,12217,C,3.97E+22,1.23E+18,2.03E+20,53.927,0.00888349,1.17E+12,0.0103248,10.2215,9.49E-05,0.0166202,17.0679
186, 20141204_1805_12222_M6.1, 2014-12-04 18:05, 2014-12-04 18:25, 2014-12-04 18:56,6.10E-05,-20,32,12222,C,2.52E+22,8.86E+17,2.02E+20,48.3069,0.00951624,7.86E+11,0.00963913,5.9859,0.000123948,-0.0363465,17.9212
187, 20141209_0958_12230_C8.6, 2014-12-09 09:58, 2014-12-09 10:24, 2014-12-09 10:35,8.60E-06,-15,-31,12230,C,5.46E+22,1.34E+18,9.79E+19,62.193,0.00870811,1.16E+12,0.00802888,8.01281,0.000127372,0.0871466,26.7558
188, 20141214_0804_12237_C3.1, 2014-12-14 08:04, 2014-12-14 08:09, 2014-12-14 08:12,3.10E-06,-15,-41,12237,E,1.62E+22,5.01E+17,8.35E+19,43.3958,0.00901986,4.54E+11,0.00445693,1.68918,8.28E-05,0.0793762,33.1823
189, 20141215_1240_12239_C1.5, 2014-12-15 12:40, 2014-12-15 12:43, 2014-12-15 12:51,1.50E-06,14,-25,12239,C,1.16E+22,3.48E+17,1.03E+20,56.6848,0.00864194,2.78E+11,0.0304305,7.36418,0.000168079,-0.0154125,3.52809
190, 20141218_2141_12241_M6.9, 2014-12-18 21:41, 2014-12-18 21:58, 2014-12-18 22:25,6.90E-05,-15,-8,12241,E,2.07E+23,4.62E+18,8.89E+20,52.1209,0.00819001,3.77E+12,0.0183024,63.3995,0.000131251,0.0361697,76.3988
191, 20141220_0011_12242_X1.8, 2014-12-20 00:11, 2014-12-20 00:28, 2014-12-20 00:55,1.80E-04,-21,24,12242,E,4.18E+23,8.44E+18,2.33E+21,56.7831,0.00859164,7.52E+12,0.0204836,134.843,0.000121655,0.0356305,97.8016
192, 20141221_0447_12244_C5.4, 2014-12-21 04:47, 2014-12-21 04:55, 2014-12-21 05:08,5.40E-06,-2,-42,12244,C,2.94E+22,8.10E+17,1.47E+20,53.1773,0.0106126,8.94E+11,0.00973762,6.17365,0.000110848,-0.048272,21.0161
193, 20141226_1800_12249_C6.5, 2014-12-26 18:00, 2014-12-26 18:07, 2014-12-26 18:15,6.50E-06,-12,33,12249,C,2.50E+22,1.07E+18,2.76E+20,44.4782,0.00970863,8.98E+11,0.0135611,9.43852,0.000108743,0.110657,28.0401
194, 20141230_0610_12251_C2.6, 2014-12-30 06:10, 2014-12-30 06:46, 2014-12-30 07:00,2.60E-06,-13,-29,12251,C,7.11E+21,2.65E+17,6.03E+19,52.9199,0.00916458,2.64E+11,0.0102226,2.2183,0.000115664,-0.0249305,3.6144
195, 20150104_1518_12253_M1.3, 2015-01-04 15:18, 2015-01-04 15:36, 2015-01-04 15:53,1.30E-05,-7,-2,12253,C,4.16E+22,1.01E+18,6.00E+20,52.7578,0.00706953,7.54E+11,0.0163628,13.1229,0.000116109,-0.0235396,21.6456
196, 20150109_0804_12257_C9.6, 2015-01-09 08:04, 2015-01-09 08:17, 2015-01-09 08:34,9.60E-06,6,18,12257,C,8.88E+21,3.31E+17,1.36E+20,52.7502,0.00834987,2.44E+11,0.0123999,2.72798,0.000125582,-0.00892801,0
197, 20150111_1442_12255_C1.6, 2015-01-11 14:42, 2015-01-11 15:14, 2015-01-11 15:34,1.60E-06,-16,44,12255,C,8.15E+22,2.11E+18,2.87E+20,65.7696,0.0095081,1.99E+12,0.0101029,15.9324,9.69E-05,-0.103932,13.0064
198, 20150112_0426_12260_C6.1, 2015-01-12 04:26, 2015-01-12 04:32, 2015-01-12 04:36,6.10E-06,7,21,12260,C,2.46E+22,4.73E+17,6.60E+19,57.3376,0.0085576,4.23E+11,0.00586084,2.18023,0.000111635,-0.0383251,14.2083
199, 20150114_0646_12259_C2.3, 2015-01-14 06:46, 2015-01-14 06:51, 2015-01-14 06:57,2.30E-06,-14,2,12259,C,1.10E+21,2.81E+16,1.98E+18,51.97,0.00885401,4.12E+10,0.00181159,0.0634057,5.86E-05,0.378422,2.13567
200, 20150119_2041_12266_C3.3, 2015-01-19 20:41, 2015-01-19 20:48, 2015-01-19 20:52,3.30E-06,-7,-6,12266,C,5.37E+19,4.01E+15,1.08E+18,22.1588,0.00608372,1.62E+09,0.000477697,0.000955394,0.000104387,1.56089,4.40492
201, 20150127_0543_12273_C2.4, 2015-01-27 05:43, 2015-01-27 05:47, 2015-01-27 05:49,2.40E-06,-3,-1,12273,C,9.84E+21,2.97E+17,4.65E+19,80.496,0.00745391,2.19E+11,0.012998,2.87256,9.81E-05,0.0322949,0.817495
202, 20150129_1132_12268_M2.1, 2015-01-29 11:32, 2015-01-29 11:42, 2015-01-29 11:52,2.10E-05,-12,6,12268,C,2.96E+22,9.36E+17,7.96E+19,64.8541,0.00810409,7.83E+11,0.0131278,9.54392,0.000125432,-0.0667582,3.52809
203, 20150204_0208_12277_M1.2, 2015-02-04 02:08, 2015-02-04 02:15, 2015-02-04 02:21,1.20E-05,10,14,12277,C,1.14E+22,4.24E+17,6.85E+19,37.7818,0.00884758,3.32E+11,0.00677683,1.91107,0.000103883,-0.071581,13.4038
204, 20150209_0704_12281_C1.7, 2015-02-09 07:04, 2015-02-09 07:13, 2015-02-09 07:16,1.70E-06,13,-3,12281,C,1.64E+20,1.20E+16,4.92E+17,43.5276,0.0106643,8.51E+09,0.0146095,0.0876571,0.000162086,-0.0280511,12.0539
205, 20150210_0158_12280_C8.3, 2015-02-10 01:58, 2015-02-10 02:02, 2015-02-10 02:07,8.30E-06,-8,42,12280,C,7.99E+22,1.23E+18,2.25E+20,63.6463,0.0085261,1.04E+12,0.0210944,19.3014,0.00010465,0.0139148,29.5158
206, 20150311_1611_12297_X2.1, 2015-03-11 16:11, 2015-03-11 16:22, 2015-03-11 17:10,2.10E-04,-17,-21,12297,E,4.96E+23,7.27E+18,2.07E+21,61.6852,0.00952233,6.86E+12,0.0315039,170.625,0.000118496,0.122003,66.7124
207, 20150325_0436_12305_C8.7, 2015-03-25 04:36, 2015-03-25 04:46, 2015-03-25 05:11,8.70E-06,-10,-31,12305,C,7.36E+22,1.97E+18,5.75E+20,72.7602,0.00948862,1.84E+12,0.020708,30.1923,0.000122411,-0.0258599,49.9034
208, 20150412_2216_12323_C2.9, 2015-04-12 22:16, 2015-04-12 22:26, 2015-04-12 22:34,2.90E-06,-16,32,12323,E,9.96E+21,3.65E+17,2.34E+19,47.8111,0.00933829,3.35E+11,0.00266633,0.719908,7.76E-05,0.134808,7.1473
209, 20150413_0821_12322_C4.7, 2015-04-13 08:21, 2015-04-13 08:26, 2015-04-13 08:28,4.70E-06,15,-26,12322,C,1.08E+22,3.48E+17,1.81E+19,67.568,0.0098877,3.23E+11,0.00174163,0.428442,8.03E-05,0.173807,12.9177
210, 20150415_2013_12321_C7.8, 2015-04-15 20:13, 2015-04-15 20:23, 2015-04-15 20:45,7.80E-06,10,-15,12321,C,8.33E+22,1.97E+18,4.02E+20,61.2696,0.00893729,2.04E+12,0.0152705,26.1889,0.000101684,-0.0142844,33.1693
211, 20150422_0138_12324_C3.7, 2015-04-22 01:38, 2015-04-22 01:44, 2015-04-22 01:50,3.70E-06,19,33,12324,C,2.04E+22,4.96E+17,7.34E+19,58.8876,0.00860685,5.39E+11,0.00681755,3.21107,8.98E-05,-0.0405637,16.9369
212, 20150424_2252_12331_C1.3, 2015-04-24 22:52, 2015-04-24 22:59, 2015-04-24 23:04,1.30E-06,-9,19,12331,C,4.70E+22,1.03E+18,2.74E+20,54.3801,0.00836509,8.75E+11,0.0224517,17.6695,0.000124303,0.0146615,20.0073
213, 20150505_1712_12335_M2.6, 2015-05-05 17:12, 2015-05-05 17:24, 2015-05-05 17:30,2.60E-05,-15,-24,12335,C,4.09E+22,1.38E+18,1.76E+20,68.874,0.00824443,1.14E+12,0.0188804,19.579,0.000121601,0.0275565,27.4095
214, 20150514_1745_12339_C4.8, 2015-05-14 17:45, 2015-05-14 17:53, 2015-05-14 17:59,4.80E-06,13,34,12339,C,4.89E+22,1.48E+18,2.82E+20,56.134,0.00853315,1.29E+12,0.00727473,8.28592,9.19E-05,-0.00667271,36.0403
215, 20150609_0340_12360_C5.8, 2015-06-09 03:40, 2015-06-09 03:53, 2015-06-09 04:09,5.80E-06,15,17,12360,C,9.51E+21,3.35E+17,4.71E+19,39.4607,0.00907847,3.40E+11,0.00625777,1.76469,9.55E-05,0.0628757,2.15202
216, 20150614_0348_12365_C5.9, 2015-06-14 03:48, 2015-06-14 04:17, 2015-06-14 04:45,5.90E-06,-15,33,12365,E,1.53E+22,4.91E+17,1.10E+20,58.0914,0.0088726,4.53E+11,0.00243895,0.936556,7.89E-05,-0.107222,8.11142
217, 20150618_0018_12367_C7.2, 2015-06-18 00:18, 2015-06-18 00:24, 2015-06-18 00:28,7.20E-06,-20,7,12367,C,3.43E+22,9.72E+17,1.75E+20,74.9888,0.00894167,8.85E+11,0.0361878,26.9599,0.000172945,-0.0114393,14.7205
218, 20150625_0802_12371_M7.9, 2015-06-25 08:02, 2015-06-25 08:16, 2015-06-25 09:05,7.90E-05,9,42,12371,E,2.99E+23,6.46E+18,1.80E+21,56.66,0.0076996,5.07E+12,0.0177604,88.0563,0.000106917,-0.0209447,42.9988
219, 20150702_1523_12376_C3.7, 2015-07-02 15:23, 2015-07-02 15:30, 2015-07-02 15:39,3.70E-06,15,-40,12376,C,2.17E+21,1.54E+17,1.89E+19,45.3676,0.00814036,7.47E+10,0.0161006,1.11094,0.000119733,0.142814,2.40433
220, 20150706_2032_12381_M1.7, 2015-07-06 20:32, 2015-07-06 20:40, 2015-07-06 20:50,1.70E-05,18,-36,12381,C,8.55E+22,2.03E+18,3.64E+20,62.9111,0.0098209,2.05E+12,0.0295995,46.4711,0.000122575,-0.0227927,46.372
221, 20150807_1934_12396_C5.4, 2015-08-07 19:34, 2015-08-07 19:41, 2015-08-07 19:50,5.40E-06,-17,-6,12396,C,4.51E+22,1.07E+18,6.43E+20,53.8464,0.0115232,1.08E+12,0.0576279,40.8006,0.000141837,-0.137123,23.9574
222, 20150815_1202_12401_C1.6, 2015-08-15 12:02, 2015-08-15 12:36, 2015-08-15 12:56,1.60E-06,-8,-33,12401,C,1.54E+21,5.48E+16,3.58E+18,31.9377,0.00925637,5.78E+10,0.0242558,1.14002,0.000171123,0.0273012,6.38433
223, 20150824_0726_12403_M5.6, 2015-08-24 07:26, 2015-08-24 07:33, 2015-08-24 07:35,5.60E-05,-15,4,12403,C,2.28E+23,5.53E+18,2.20E+21,53.985,0.00963393,5.06E+12,0.0255858,101.115,0.000133394,0.0415134,81.9833
224, 20150917_0934_12415_M1.1, 2015-09-17 09:34, 2015-09-17 09:40, 2015-09-17 09:45,1.10E-05,-20,2,12415,C,3.22E+22,7.24E+17,1.70E+20,56.6782,0.0074099,4.64E+11,0.00157055,0.739729,7.21E-05,-0.1066,38.1558
225, 20150928_1453_12422_M7.6, 2015-09-28 14:53, 2015-09-28 14:58, 2015-09-28 15:03,7.60E-05,-20,16,12422,C,3.07E+23,5.95E+18,2.39E+21,54.0671,0.0101556,6.27E+12,0.0371919,172.756,0.0001461,-0.074145,72.1774
226, 20151017_2112_12434_C4.7, 2015-10-17 21:12, 2015-10-17 21:19, 2015-10-17 21:25,4.70E-06,-10,-34,12434,C,8.91E+22,2.62E+18,5.50E+20,66.9846,0.00867136,2.20E+12,0.0105653,20.1587,9.81E-05,0.0242033,18.3325
227, 20151021_1748_12436_C7.7, 2015-10-21 17:48, 2015-10-21 17:56, 2015-10-21 18:00,7.70E-06,9,-30,12436,C,2.73E+22,7.70E+17,2.01E+20,49.2814,0.00861259,7.03E+11,0.0135504,8.31992,0.000104866,-0.063302,40.5059
228, 20151104_1331_12443_M3.7, 2015-11-04 13:31, 2015-11-04 13:52, 2015-11-04 14:13,3.70E-05,6,-3,12443,E,1.55E+22,5.69E+17,1.53E+20,43.5881,0.00800005,4.37E+11,0.0133048,5.46827,0.000135389,-0.0317492,15.188
229, 20151109_1249_12449_M3.9, 2015-11-09 12:49, 2015-11-09 13:12, 2015-11-09 13:28,3.90E-05,-11,-41,12449,E,6.94E+21,2.53E+17,3.48E+19,47.5038,0.0112335,3.15E+11,0.00513278,1.08302,0.000101239,0.0596561,12.0253
230, 20151122_0531_12454_C5.6, 2015-11-22 05:31, 2015-11-22 05:38, 2015-11-22 05:41,5.60E-06,15,40,12454,C,5.18E+22,1.52E+18,3.61E+20,56.3543,0.00914285,1.46E+12,0.0140179,16.8215,0.000113513,0.041738,42.4955
231, 20151201_0757_12458_C3.6, 2015-12-01 07:57, 2015-12-01 08:10, 2015-12-01 08:18,3.60E-06,9,36,12458,E,4.88E+21,1.75E+17,7.40E+19,51.3397,0.00923297,1.80E+11,0.00673512,0.990063,8.88E-05,0.0435235,0
232, 20151208_1859_12463_C6.7, 2015-12-08 18:59, 2015-12-08 19:14, 2015-12-08 19:28,6.70E-06,-11,-24,12463,E,7.26E+21,2.91E+17,8.49E+18,57.8622,0.00812341,2.16E+11,0.00134765,0.26953,7.93E-05,0.105371,9.17308
233, 20151219_2149_12470_C4.5, 2015-12-19 21:49, 2015-12-19 22:28, 2015-12-19 23:08,4.50E-06,15,-6,12470,C,3.14E+21,1.23E+17,1.06E+19,50.6447,0.00858045,8.78E+10,0.0215488,1.65926,0.000104741,0.0467595,5.15154
234, 20151225_1659_12472_C6.9, 2015-12-25 16:59, 2015-12-25 17:29, 2015-12-25 17:49,6.90E-06,3,-37,12472,C,9.46E+20,2.94E+16,9.18E+17,49.3517,0.00946586,3.65E+10,0.00184816,0.0535967,8.29E-05,0.171989,0
235, 20151228_1120_12473_M1.8, 2015-12-28 11:20, 2015-12-28 12:45, 2015-12-28 14:09,1.80E-05,-22,5,12473,E,1.36E+23,2.73E+18,3.65E+20,61.7646,0.00807745,2.20E+12,0.0115663,23.7341,0.000103143,0.00908463,36.7162
236, 20160115_0234_12480_C2.8, 2016-01-15 02:34, 2016-01-15 02:39, 2016-01-15 02:41,2.80E-06,3,39,12480,C,7.04E+20,4.95E+16,3.00E+18,50.2011,0.00832347,2.54E+10,0.00211546,0.0486556,9.16E-05,0.182978,1.55109
237, 20160128_1148_12488_C9.6, 2016-01-28 11:48, 2016-01-28 12:02, 2016-01-28 12:16,9.60E-06,3,41,12488,E,2.81E+22,7.73E+17,1.38E+20,53.7311,0.00839815,6.64E+11,0.00650682,3.87156,8.76E-05,-0.0225856,21.6634
238, 20160204_1815_12494_C5.1, 2016-02-04 18:15, 2016-02-04 18:22, 2016-02-04 18:28,5.10E-06,-12,-14,12494,C,3.86E+21,1.50E+17,1.19E+19,46.9657,0.0078732,1.13E+11,0.0127111,1.3728,0.000145153,-0.0274968,6.17356
239, 20160213_1516_12497_M1.8, 2016-02-13 15:16, 2016-02-13 15:24, 2016-02-13 15:26,1.80E-05,13,25,12497,C,2.17E+23,3.75E+18,4.69E+20,45.6315,0.00882006,3.48E+12,0.00862078,25.6124,0.000102458,-0.0419841,81.2973
240, 20160227_0544_12506_C3.3, 2016-02-27 05:44, 2016-02-27 05:55, 2016-02-27 06:01,3.30E-06,-10,-20,12506,C,5.91E+21,2.18E+17,3.14E+19,64.7474,0.00807027,1.75E+11,0.00181743,0.296241,7.91E-05,-0.0438102,8.28404
241, 20160428_1246_12535_C1.9, 2016-04-28 12:46, 2016-04-28 12:51, 2016-04-28 12:54,1.90E-06,5,-21,12535,C,3.36E+20,1.34E+16,1.39E+18,26.5151,0.006608,9.66E+09,0.000522,0.005745,0.000059,0.576061,0
242, 20160507_1704_12541_C1.9, 2016-05-07 17:04, 2016-05-07 17:13, 2016-05-07 17:24,1.90E-06,4,-5,12541,C,1.11E+20,1.24E+16,1.19E+18,42.718468,0.005537,2.94E+09,0.005436,0.021746,0.000091,0.313649,0
243, 20160515_1500_12544_C3.4, 2016-05-15 15:00, 2016-05-15 16:03, 2016-05-15 17:45,3.40E-06,21,4,12544,C,3.26E+22,1.04E+18,2.26E+20,54.997993,0.009139,8.75E+11,0.029961,21.571701,0.00015,-0.087858,33.1514
244, 20160719_1004_12565_C2.3, 2016-07-19 10:04, 2016-07-19 11:52, 2016-07-19 12:58,2.30E-06,5,35,12565,C,2.39E+21,1.10E+17,1.14E+19,52.604687,0.00693,6.91E+10,0.028917,2.168811,0.00013,-0.018751,1.18309
245, 20160721_0042_12567_M1.2, 2016-07-21 00:42, 2016-07-21 00:46, 2016-07-21 00:50,1.20E-05,3,42,12567,C,4.50E+22,1.64E+18,5.50E+20,56.8467,0.00732307,1.17E+12,0.0256267,30.8033,0.000117299,0.00551542,14.4624
246, 20160807_2226_12571_C5.6, 2016-08-07 22:26, 2016-08-07 22:32, 2016-08-07 22:40,5.60E-06,13,18,12571,C,1.97E+22,5.83E+17,1.20E+20,64.362602,0.006865,4.05E+11,0.013853,6.150561,0.000101,0.051287,7.44296
247, 20160811_1632_12574_C2.4, 2016-08-11 16:32, 2016-08-11 16:44, 2016-08-11 17:03,2.40E-06,2,-31,12574,C,6.87E+21,2.82E+17,5.18E+19,54.81469,0.007763,2.14E+11,0.006163,1.275829,0.000092,0.037546,3.29035
248, 20161012_1151_12599_C1.1, 2016-10-12 11:51, 2016-10-12 11:55, 2016-10-12 11:59,1.10E-06,-14,38,12599,C,2.19E+22,6.72E+17,2.15E+20,42.266171,0.007188,4.86E+11,0.014465,7.362924,0.000094,0.002052,3.89609
249, 20161204_1735_12615_C1.8, 2016-12-04 17:35, 2016-12-04 17:55, 2016-12-04 18:14,1.80E-06,-6,15,12615,C,2.05E+22,6.40E+17,3.43E+20,77.163643,0.009382,5.66E+11,0.044297,20.110806,0.000158,-0.047623,4.66964
250, 20170223_2036_12638_C1.3, 2017-02-23 20:36, 2017-02-23 20:53, 2017-02-23 21:17,1.30E-06,19,-27,12638,C,1.32E+21,1.14E+17,2.43E+19,48.749046,0.010469,6.26E+10,0.005094,0.229216,0.000081,-0.012323,5.5017
251, 20170403_1107_12645_C3.9, 2017-04-03 11:07, 2017-04-03 11:13, 2017-04-03 11:25,3.90E-06,-11,35,12645,C,1.92E+23,3.57E+18,6.12E+20,63.299236,0.009128,2.98E+12,0.037679,92.615067,0.000141,0.063933,37.1306
252, 20170714_0107_12665_M2.4, 2017-07-14 01:07, 2017-07-14 02:09, 2017-07-14 03:24,2.40E-05,-9,33,12665,E,5.46E+22,1.65E+18,4.22E+20,53.8793,0.00813126,1.47E+12,0.0126524,17.1567,0.000103469,-0.0285103,22.3337
253, 20170819_2054_12671_C7.0, 2017-08-19 20:54, 2017-08-19 21:55, 2017-08-19 22:05,7.00E-06,10,-6,12671,C,4.81E+22,1.55E+18,3.92E+20,38.474407,0.008712,1.30E+12,0.043325,48.611076,0.000154,-0.063233,62.5619
254, 20170906_1153_12673_X9.3, 2017-09-06 11:53, 2017-09-06 12:02, 2017-09-06 12:10,9.30E-04,-9,34,12673,E,1.52E+24,1.50E+19,3.90E+21,50.5357,0.0096343,1.45E+13,0.0375183,425.983,0.000122738,-0.0774013,161.186
255, 20180210_1302_12699_C4.6, 2018-02-10 13:02, 2018-02-10 13:21, 2018-02-10 13:36,4.60E-06,-8,-7,12699,C,7.21E+21,2.86E+17,7.93E+19,41.293827,0.006311,1.69E+11,0.002245,0.453539,0.000079,-0.009288,10.5038
256, 20190126_1312_12733_C5.0, 2019-01-26 13:12, 2019-01-26 13:22, 2019-01-26 13:34,5.00E-06,5,26,12733,C,1.54E+22,4.30E+17,3.88E+19,56.394009,0.007944,4.04E+11,0.028965,11.093649,0.000174,0.020481,6.90716
257, 20190321_0308_12736_C5.6, 2019-03-21 03:08, 2019-03-21 03:12, 2019-03-21 03:20,5.60E-06,8,34,12736,C,2.35E+22,1.09E+18,2.04E+20,55.035717,0.010157,8.40E+11,0.021112,13.13178,0.000133,0.014061,3.03464
258, 20190506_0503_12740_M1.0, 2017-05-06 05:03, 2017-05-06 05:09, 2017-05-06 05:19,1.00E-05,8,-41,12740,E,6.70E+22,1.88E+18,5.54E+20,67.4221,0.00820869,1.57E+12,0.0164561,23.6145,9.95E-05,0.00388228,24.1231
259, 20200808_0342_12770_C1.5, 2020-08-08 03:42, 2020-08-08 03:49, 2020-08-08 04:15,1.50E-06,24,-21,12770,C,5.53E+19,1.01E+17,1.24E+19,39.89587,0.010299,2.74E+09,0.002744,0.005488,0.000042,-3.34286,0
260, 20201029_1130_12779_C4.3, 2020-10-29 11:30, 2020-10-29 11:50, 2020-10-29 12:07,4.30E-06,-17,38,12779,C,8.47E+22,1.59E+17,4.53E+19,47.48175,0.008157,1.41E+12,0.01952,25.473463,0.000127,-0.021123,0
261, 20201108_0513_12781_C5.7, 2020-11-08 05:13, 2020-11-08 05:18, 2020-11-08 05:23,5.70E-06,-21,-15,12781,C,5.38E+22,1.63E+18,4.36E+20,67.725739,0.007572,1.14E+12,0.017833,20.204466,0.000133,-0.010563,7.77003
262, 20201128_2259_12786_C3.1, 2020-11-28 22:59, 2020-11-28 23:18, 2020-11-28 23:32,3.10E-06,-20,-16,12786,C,5.29E+22,1.69E+18,3.48E+20,53.875435,0.008346,1.41E+12,0.012727,16.163246,0.000105,0.009904,16.3889
263, 20201207_1546_12790_C7.4, 2020-12-07 15:46, 2020-12-07 16:32, 2020-12-07 17:15,7.40E-06,-25,8,12790,E,3.71E+21,1.51E+17,4.76E+18,73.328804,0.007715,8.51E+10,0.001258,0.104431,0.000067,-0.140916,2.97988
264, 20210423_2308_12818_C2.4, 2021-04-23 23:08, 2021-04-23 23:12, 2021-04-23 23:16,2.40E-06,-21,-21,12818,C,8.17E+19,8.69E+16,1.96E+18,40.600651,0.007237,2.89E+09,0.001905,0.005714,0.000063,-0.421353,2.06812
265, 20210522_2130_12824_M1.4, 2021-05-22 21:30, 2021-05-22 21:36, 2021-05-22 21:43,1.40E-05,20,-12,12824,E,2.89E+22,7.02E+17,9.18E+19,66.6426,0.00879065,6.51E+11,0.00226583,1.26207,8.09E-05,-0.075572,26.3518
266, 20210628_0915_12836_C2.0, 2021-06-28 09:15, 2021-06-28 09:35, 2021-06-28 09:47,2.00E-06,-28,-27,12836,C,2.57E+21,1.11E+17,6.37E+18,36.788227,0.009107,9.44E+10,0.022501,1.755108,0.000149,-0.056612,3.46297
267, 20210630_1809_12835_C3.6, 2021-06-30 18:09, 2021-06-30 18:15, 2021-06-30 18:19,3.60E-06,-16,3,12835,C,4.46E+22,1.44E+18,3.09E+20,47.09428,0.00762,1.21E+12,0.016779,19.98402,0.000126,0.013926,26.6168
268, 20210826_1748_12859_C3.0, 2021-08-26 17:48, 2021-08-26 18:18, 2021-08-26 18:42,3.00E-06,20,-14,12859,E,1.11E+20,1.64E+16,1.92E+18,37.738297,0.005204,2.77E+09,0.079938,0.319753,0.000324,-0.059461,0
269, 20210828_0539_12860_M4.7, 2021-08-28 05:39, 2021-08-28 06:11, 2021-08-28 06:23,4.70E-05,-27,1,12860,E,6.63E+22,1.77E+18,4.55E+20,52.0691,0.00889336,1.52E+12,0.0222763,28.6027,0.00010189,0.118842,48.0153
270, 20210907_2342_12864_C2.3, 2021-09-07 23:42, 2021-09-08 00:09, 2021-09-08 00:33,2.30E-06,22,39,12864,E,4.88E+20,1.34E+16,1.65E+18,51.420029,0.007958,1.69E+10,0.001958,0.031323,0.000093,-0.016015,3.80738
271, 20210908_1246_12868_C2.3, 2021-09-08 12:46, 2021-09-08 12:58, 2021-09-08 13:04,2.30E-06,-20,2,12868,C,3.83E+21,5.35E+15,8.43E+16,60.678223,0.009759,1.58E+11,0.007476,0.912101,0.000102,0.042561,0
272, 20210908_1711_12866_C8.3, 2021-09-08 17:11, 2021-09-08 17:30, 2021-09-08 17:49,8.30E-06,-15,-11,12866,C,2.28E+22,7.12E+17,1.67E+20,57.288776,0.008512,6.77E+11,0.025109,15.014973,0.000126,-0.018742,10.9759
273, 20210921_1143_12873_C1.8, 2021-09-21 11:43, 2021-09-21 11:53, 2021-09-21 11:57,1.80E-06,25,14,12873,C,1.06E+22,3.34E+17,2.15E+19,50.285122,0.006578,2.14E+11,0.00333,0.815823,0.000073,-0.090457,8.69358
274, 20210923_0407_12871_M2.9, 2021-09-21 04:07, 2021-09-21 04:42, 2021-09-21 05:50,2.90E-05,-30,-21,12871,E,9.13E+22,2.09E+18,2.50E+20,59.418705,0.007978,1.67E+12,0.009546,15.062931,0.000097,0.033058,35.6658
275, 20210929_2146_12877_C2.8, 2021-09-29 21:46, 2021-09-29 21:56, 2021-09-29 22:02,2.80E-06,-18,39,12877,C,2.87E+22,8.97E+17,1.10E+20,52.692699,0.008261,7.99E+11,0.011813,8.599615,0.000107,-0.016273,28.8579
276, 20211009_0619_12882_M1.6, 2021-10-09 06:19, 2021-10-09 06:38, 2021-10-09 06:53,1.60E-05,18,-8,12882,E,3.68E+22,1.19E+18,1.86E+20,52.4195,0.00701997,8.52E+11,0.00827137,7.55176,8.38E-05,-0.0281635,16.7471
277, 20211027_1149_12889_C1.6, 2021-10-27 11:49, 2021-10-27 11:59, 2021-10-27 12:08,1.60E-06,-25,-39,12889,C,1.43E+21,8.42E+16,2.87E+19,42.9202,0.010512,6.01E+10,0.028085,1.207664,0.00013,-0.087121,12.8608
278, 20211028_1517_12887_X1.0, 2021-10-28 15:17, 2021-10-28 15:35, 2021-10-28 15:48,1.00E-04,-28,1,12887,E,1.14E+23,2.31E+18,2.87E+20,65.0266,0.0081118,1.87E+12,0.0143291,24.7893,0.000101293,0.0917111,34.9936
279, 20211216_0326_12906_C1.4, 2021-12-16 03:26, 2021-12-16 03:34, 2021-12-16 03:41,1.40E-06,-29,-10,12906,C,2.72E+19,1.34E+15,1.82E+16,29.254755,0.002296,3.05E+08,0.001522,0.018258,0.00007,0.648838,2.64547
280, 20211219_2059_12907_C3.7, 2021-12-19 20:59, 2021-12-19 21:12, 2021-12-19 21:27,3.70E-06,-21,6,12907,C,1.60E+22,3.41E+17,1.43E+19,65.317726,0.008985,3.14E+11,0.007488,1.969215,0.000105,0.005516,2.94834
281, 20211220_1112_12908_M1.8, 2021-12-20 11:12, 2021-12-20 11:36, 2021-12-20 11:55,1.80E-05,-20,1,12908,E,5.63E+20,8.02E+15,2.34E+17,59.564426,0.007203,1.92E+10,0.004375,0.087508,0.000078,-0.192694,13.2499
282, 20211226_0432_12918_C2.0, 2021-12-26 04:32, 2021-12-26 04:42, 2021-12-26 04:49,2.00E-06,21,-10,12918,C,1.17E+22,4.25E+17,3.98E+19,52.791237,0.008452,3.40E+11,0.007849,2.378142,0.000091,0.043708,31.1488
283, 20220305_2349_12961_C1.3, 2022-03-05 23:49, 2022-03-06 00:01, 2022-03-06 00:11,1.30E-06,-15,26,12961,C,2.72E+19,1.49E+18,1.49E+20,68.982567,0.002141,2.85E+08,0.00846,0.00846,0.000189,0.081068,15.8745
