,AR,KEY,time,energy,shear_mean,uj_mean,uhc_mean,GBH_MEAN,ALP_MEAN
6918,12242,1,201412192300,2.2119562907032098,0.14797315608911216,1.5872632399401023,1.6832598239795038,0.7141915714845445,-0.1911365107011829
6919,12242,1,201412192336,2.2183454019497737,0.2085771889449678,1.5827468544644774,1.6316620321133297,0.8666328952109913,-0.1905951190062669
6920,12244,0,201412200448,-0.31749285181158565,-0.30055251816453227,1.3766867671391092,0.023406938278796405,0.0663159456471435,-0.20731087803298592
6921,12244,0,201412200448,-0.31749285181158565,-0.30055251816453227,1.3766867671391092,0.023406938278796405,0.0663159456471435,-0.20731087803298592
6922,12244,0,201412200524,-0.28810294007738996,0.15462586726441255,1.049248820156331,-0.054411057138968585,-0.16234603994252722,-0.21369604703568593
6923,12244,0,201412200636,-0.2957698735732671,0.13128689496213156,0.3960665707441348,0.05408804602630998,-0.4291183564638102,-0.1860525406218861
6924,12244,0,201412200712,-0.2861862067034207,-0.05582000233188534,0.21033021805907676,0.17066634234642655,-0.5053390183270335,-0.1675243973804269
6925,12244,0,201412200748,-0.27915818433219997,-0.04230220358555646,0.520267171323809,0.16610630694614997,-0.20045637087413892,-0.1329008881703713
6926,12244,0,201412200824,-0.2842694733294514,-0.09991712098796755,-0.01605360390660248,-0.0984748774742508,-0.5434493492586453,-0.20344213480536746
6927,12244,0,201412200900,-0.2772414509582307,-0.11309701077907734,-0.01323086298433727,0.02960263855091145,-0.5053390183270335,-0.13442514976635792
6928,12244,0,201412200936,-0.27851927320754355,-0.08281763137007357,-0.07815390419644004,-0.5746516175879243,-0.5434493492586453,-0.13095606049378472
6929,12244,0,201412201012,-0.2772414509582307,-0.176920439308165,0.12395434583775762,-0.4597585517418229,-0.6958906729850926,0.01917441243287207
6930,12244,0,201412201048,-0.26574105071441506,0.06975350958388328,1.7600149843827397,-0.38907800303753454,-0.16234603994252722,0.1584724043221972
6931,12244,0,201412201124,-0.26126867284182,0.2610984684027359,1.3174092077715367,-0.2848415416594712,-0.16234603994252722,-0.2637155277930087
6932,12244,0,201412201200,-0.2363511389802194,0.3768672700490431,1.7707413998873478,-0.251880416211819,0.0282056147155318,-0.19285362856617388
6933,12244,0,201412201236,-0.23571222785556292,0.41434933729767276,1.8768764585645246,-0.24707255280065776,-0.009904716216079901,0.12535224458257346
6934,12244,0,201412201312,-0.2318787611076244,0.5150319034728025,1.8966356450203818,-0.09614529417193544,0.33308826216842646,-0.10299654862715837
6935,12244,0,201412201348,-0.19865538262549015,0.5832914674423155,1.0074722545068047,-0.38431970522855013,-0.009904716216079901,-0.09360468068359452
6936,12244,0,201412201424,-0.2018499382487723,0.47799774051225713,1.5037101086410485,-0.28979810187716315,0.21875726937359083,-0.11156819653507698
6937,12244,0,201412201500,-0.2095168717446494,0.1914152417339507,1.123204632319682,-0.27497798682626395,-0.009904716216079901,-0.21886366561720152
6938,12244,0,201412201536,-0.21015578286930586,0.2902870521861985,1.1220755359507768,-0.3714326486625509,0.0282056147155318,-0.1821164138785914
6939,12244,0,201412201612,-0.20057211599945945,0.15339657424126887,0.6213212963409078,-0.37158134546908167,-0.2766770327373628,-0.04208882116435805
6940,12244,0,201412201648,-0.19801647150083374,0.08596871492615211,0.4361494918403024,-0.48617701770212146,-0.6577803420534809,-0.20617697611402028
6941,12244,0,201412201724,-0.20248884937342873,0.03467600822274263,0.23234759725274579,-0.6087031862834685,-0.6958906729850926,-0.06370963541840595
6942,12244,0,201412201800,-0.19546082700220804,0.2359547083189261,0.17024729696290922,-0.6485043648315355,-0.9245526585747633,0.13040136111927914
6943,12244,0,201412201836,-0.2369900501048758,0.04548703687894028,0.0883878102172142,-0.5328678149527803,-1.038883651369599,-0.25110551608352805
6944,12244,0,201412201912,-0.25615738384456865,-0.048951004730314975,0.14597172503142664,-0.4751238884166682,-0.6958906729850926,-0.26777248015061944
6945,12244,0,201412201948,-0.2631854062157893,-0.14878015529198962,0.49429795483896843,-0.37519963442799686,-0.6196700111218691,-0.11480957599605461
6946,12244,0,201412202024,-0.26190758396647645,-0.1595457041192571,0.7675392761142519,-0.22268627652961298,-0.4672286873954219,-0.13436706052870598
6947,12244,0,201412202100,-0.2842694733294514,0.022822030367367595,0.49712069576123363,-0.2606535277971339,-0.16234603994252722,-0.14331512669660906
6948,12244,0,201412202136,-0.2714912508363228,0.14931316471390396,1.2095805045410013,0.0778795350712318,0.2568676003052025,-0.13457850535375898
6949,12244,0,201412202212,-0.23826787235418864,-0.0247191049270019,1.7058183586752451,0.4973532262945085,0.4855295858948733,-0.14397037329732285
6950,12244,0,201412202248,-0.24529589472540939,-0.05785362979563365,1.4263670073709787,0.2892768283557968,0.2949779312368142,-0.1260138281543586
6951,12244,0,201412202324,-0.22740638323502937,0.05748146714718801,0.9707766225173549,0.1312616886157749,0.0282056147155318,-0.08303941013946174
6952,12244,0,201412210000,-0.17437675988854595,0.07222629521476724,1.1666748425225686,0.19232651049774074,0.40930892403164987,-0.11478634030099381
6953,12244,0,201412210036,-0.15073704827625814,-0.006076902469401652,0.8375432509864315,-0.15552488557988603,-0.12423570901091552,-0.07800191145028647
6954,12244,0,201412210112,-0.15968180402144813,0.017616853656751065,1.0644916211365634,0.23440770674594602,-0.009904716216079901,-0.09948331153396972
6955,12244,0,201412210148,-0.18587716013236164,0.15643188979242792,1.3253128823538798,0.35044078144211666,-0.009904716216079901,-0.23036998181129556
6956,12244,0,201412210224,-0.2363511389802194,0.22173896912093763,0.849398762859946,0.4740573932713557,-0.04801504714769212,-0.1665694103134292
6957,12244,0,201412210300,-0.28810294007738996,-0.11929008757466848,1.0035204172156331,0.16803936543104975,-0.08612537807930382,-0.2382073817552938
6958,12244,0,201412210336,-0.20440558274739803,0.062459347608694,1.6030705891047874,0.5829034556518728,0.18064693844197913,-0.16470823113906138
6959,12244,0,201412210412,-0.26957451746235356,-0.06906893503071465,1.1599002643091318,0.17096373595948802,0.1425366075103669,-0.05991756998448802
6960,12249,0,201412251800,-0.39697339571884516,-0.5660722997889609,1.2999082140534919,1.2089665767485531,0.6379709096213211,0.12011724248538169
6961,12249,0,201412251800,-0.39697339571884516,-0.5660722997889609,1.2999082140534919,1.2089665767485531,0.6379709096213211,0.12011724248538169
6962,12249,0,201412251800,-0.39697339571884516,-0.5660722997889609,1.2999082140534919,1.2089665767485531,0.6379709096213211,0.12011724248538169
6963,12249,0,201412251800,-0.39697339571884516,-0.5660722997889609,1.2999082140534919,1.2089665767485531,0.6379709096213211,0.12011724248538169
6964,12249,0,201412251836,-0.4073876470507449,-0.6354462224628046,1.9051038677871777,1.356027718407476,0.8285225642793796,-0.058458368334671565
6965,12249,0,201412251912,-0.40815434040033266,-0.9356368622720569,0.9820675862064167,1.0728594331707302,0.7141915714845445,-0.054712774290875225
6966,12249,0,201412251948,-0.41799357172004165,-1.1339736759679162,0.7850402698322968,1.2113952912552224,0.5236399168264849,0.14106886872167934
6967,12249,0,201412252024,-0.42214649403030835,-0.23613095785813432,0.913757255887595,2.990800409406662,0.8666328952109913,0.02305942064703308
6968,12249,0,201412252100,-0.4192713939693545,-0.12225481678499903,1.2632125820640423,2.420944681178609,0.37119859310003817,-0.037332474385418146
6969,12249,0,201412252136,-0.4267466541278347,-0.08529082858312022,1.4557235129625379,1.167480167726471,0.40930892403164987,0.06789037069728555
6970,12249,0,201412252212,-0.4341580231738492,-0.17729837462866413,1.710899292335323,1.7924528455752593,0.5236399168264849,0.11643903195726156
6971,12249,0,201412252248,-0.435627518760559,-0.2316877226254095,1.5669395052997914,2.2214431324165047,1.8575014994328987,0.150697740754863
6972,12249,0,201412252324,-0.42879116972673526,-0.18904595849509415,1.094977223097029,1.5504240101453572,0.4855295858948733,0.10497221644477078
6973,12249,0,201412260000,-0.43077179421317013,-0.5749859346771201,0.41243846809327345,0.6033244837487639,0.1425366075103669,-0.04823698607743818
6974,12249,0,201412260036,-0.41499068943415646,-0.2946196641910323,1.1265919214264009,0.9723899575581125,1.3239568663903327,-0.04362470060787504
6975,12249,0,201412260112,-0.4143517783095,-0.49772393696793976,0.8160904199772151,1.2350876490957903,1.019074218937439,0.029198291282088857
6976,12249,0,201412260148,-0.41773800727017907,-0.2878330859174556,0.5496236769153683,1.435134419481841,0.904743226142603,-0.017786607700297156
6977,12249,0,201412260224,-0.4114127871360804,-0.149624927680037,1.308940985004741,1.0555114724088082,0.9428535570742147,0.005395645261834563
6978,12249,0,201412260300,-0.4170990961455226,-0.34979472253554006,0.9656956888572771,0.7868163430077231,0.9428535570742147,-0.1739304785086816
6979,12249,0,201412260336,-0.4044486558773253,-0.6789298779060321,0.42260033541342895,0.41566911390694367,0.33308826216842646,-0.0739542533707001
6980,12249,0,201412260412,-0.38266178652654115,-0.7892070416567869,0.34977361961898323,-0.029380428039623728,-0.23856670180575115,-0.056836516819429736
6981,12249,0,201412260448,-0.40138188247897455,-0.6870651080298082,0.4841360875188129,0.04154794867554915,-0.4291183564638102,-0.13771764775646922
6982,12249,0,201412260524,-0.39454553344515075,-0.7464016736169715,0.8584315338111952,-0.13326993020244873,-0.2766770327373628,-0.18871767484535656
6983,12249,0,201412260600,-0.38649525327447976,-0.9242139138361135,0.42203578722897533,-0.48939878184362123,-0.8102216657799283,-0.025558947698125223
6984,12249,0,201412260636,-0.37627267527997693,-1.0785916946913299,0.10080787027518133,-0.5755437984271088,-1.038883651369599,0.012612652147710185
6985,12249,0,201412260712,-0.3666890084101305,-1.067310433414745,0.11548612307096101,-0.08370432802552856,-0.7721113348483165,0.040390925592862524
6986,12249,0,201412260748,-0.3462438524211248,-0.9103078902152285,0.22613756722376174,-0.17009717261990057,-0.7721113348483165,-0.1965457805113305
6987,12249,0,201412260824,-0.32515978530746276,-1.0482106544882468,0.23121850088383952,-0.47809782454728345,-1.1532146441644346,-0.03925871350595609
